locality,property_type,subtype_property,price,type_of_sale,number_of_rooms,living_area,kitchen_fully_equiped,is_furnished,has_open_fire,has_terrace,terrace_area,has_garden,garden_surface,habitable_surface,plot_land_surface,number_of_facades,has_swimming_pool,building_state
Herselt,HOUSE,HOUSE,445000,residential_sale,3,20,No,No,No,Yes,60,Yes,1200,190,1523,4,No,AS_NEW
Ixelles,APARTMENT,APARTMENT,348000,residential_sale,1,38,Yes,No,No,No,,No,,83,,,No,TO_BE_DONE_UP
Eeklo,HOUSE,HOUSE,195000,residential_sale,3,,None,No,No,No,,No,,,,,No,None
Damme,HOUSE,HOUSE,1150000,residential_sale,5,,None,No,Yes,No,,No,,297,,,No,None
Izegem,HOUSE,HOUSE,179000,residential_sale,4,,None,No,No,No,,No,,152,,,No,None
Knokke,APARTMENT,APARTMENT,1295000,residential_sale,3,,None,No,No,Yes,,No,,104,,,No,None
Roeselare,HOUSE,HOUSE,310000,residential_sale,3,,None,No,Yes,Yes,,Yes,,233,,,No,None
Ichtegem,HOUSE,HOUSE,274000,residential_sale,3,,None,No,No,No,,Yes,,225,,,No,None
Leglise,HOUSE,HOUSE,379000,residential_sale,4,15,No,No,No,Yes,70,No,,,808,4,No,AS_NEW
Gent,APARTMENT,APARTMENT,375000,residential_sale,3,,None,No,No,Yes,12,No,,138,,,No,None
Flemalle,HOUSE,HOUSE,115000,residential_sale,2,15,No,No,No,No,,Yes,163,,354,3,No,TO_BE_DONE_UP
Wenduine (De Haan),APARTMENT,APARTMENT,129000,residential_sale,0,,None,No,No,No,,No,,34,,,No,None
Antwerp,APARTMENT,APARTMENT,349000,residential_sale,2,29,Yes,No,No,Yes,17,No,,76,,4,No,AS_NEW
Waregem,HOUSE,HOUSE,320000,residential_sale,3,,None,No,No,No,,No,,168,,,No,None
Wenduine,APARTMENT,APARTMENT,235000,residential_sale,2,,None,No,No,No,,No,,65,,,No,None
Wommelgem,HOUSE,HOUSE,395000,residential_sale,3,,None,No,No,Yes,,Yes,640,180,,,No,None
Gent,APARTMENT,APARTMENT,174000,residential_sale,2,,None,No,No,Yes,20,No,,60,,,No,None
Waterloo,HOUSE,HOUSE,425000,residential_sale,3,25,No,No,No,Yes,11,No,,110,147,3,No,GOOD
Wenduine,APARTMENT,APARTMENT,259000,residential_sale,2,,None,No,No,Yes,,No,,66,,,No,None
Hasselt,APARTMENT,APARTMENT,390000,residential_sale,2,,None,No,No,Yes,29,No,,103,,,No,None
Halle,APARTMENT,APARTMENT,349000,residential_sale,2,,None,No,Yes,Yes,24,No,,125,,,No,None
Vilvoorde Peutie,HOUSE,HOUSE,339000,residential_sale,2,28,Yes,No,No,Yes,10,No,,120,80,2,No,AS_NEW
De Panne,APARTMENT,APARTMENT,175000,residential_sale,1,,None,Yes,No,No,,No,,48,,,No,None
Sauvenière,HOUSE,HOUSE,259000,residential_sale,4,40,No,No,No,No,,Yes,931,145,931,4,No,GOOD
Courcelles,HOUSE,HOUSE,399900,residential_sale,6,35,No,No,No,Yes,25,Yes,500,230,909,3,No,GOOD
Verviers,HOUSE,HOUSE,260000,residential_sale,4,,None,No,No,Yes,20,Yes,170,141,,,No,None
Buggenhout,HOUSE,HOUSE,435000,residential_sale,6,,None,No,No,Yes,,No,,260,,,No,None
Kruibeke,APARTMENT,APARTMENT,219000,residential_sale,1,,None,No,No,Yes,2,No,,75,,,No,None
Boussu Hornu,HOUSE,HOUSE,95000,residential_sale,3,,None,No,No,No,,No,,,,,No,None
BASECLES,HOUSE,HOUSE,165000,residential_sale,3,15,No,No,No,Yes,60,Yes,50,110,285,2,No,GOOD
Berchem,APARTMENT,APARTMENT,337000,residential_sale,2,,None,No,Yes,Yes,13,Yes,17,74,,,No,None
Woluwe-Saint-Pierre,HOUSE,HOUSE,880000,residential_sale,5,45,Yes,No,No,Yes,28,Yes,102,325,378,3,No,AS_NEW
Liège,APARTMENT,APARTMENT,125000,residential_sale,1,,None,No,No,Yes,2,No,,60,,,No,None
Zwevegem,HOUSE,HOUSE,169000,residential_sale,3,,None,No,No,Yes,,No,,125,,,No,None
Sint-Niklaas,HOUSE,HOUSE,289000,residential_sale,3,,None,No,No,No,,No,,131,,,No,None
Hasselt,HOUSE,HOUSE,395000,residential_sale,3,,None,No,No,No,,No,,233,,,No,None
Grivegnée,APARTMENT,APARTMENT,150000,residential_sale,1,,None,No,No,Yes,6,No,,75,,,No,None
Izegem,HOUSE,HOUSE,155000,residential_sale,2,,None,No,No,No,,No,,122,,,No,None
Antwerp,APARTMENT,APARTMENT,265000,residential_sale,2,,None,No,No,Yes,15,No,,80,,,No,None
Sart-Dames-Avelines (Villers-la-Ville),HOUSE,HOUSE,449000,residential_sale,3,,None,No,No,Yes,,No,,130,,,No,None
La Louviere,APARTMENT,APARTMENT,299999,residential_sale,2,,None,No,No,Yes,7,No,,89,,,No,None
Schoten,HOUSE,HOUSE,365000,residential_sale,2,,None,No,Yes,No,,Yes,,180,,,No,None
Lembeek,HOUSE,HOUSE,385000,residential_sale,3,,None,No,No,No,,No,,158,,,No,None
Dudzele,HOUSE,HOUSE,775000,residential_sale,3,,None,No,No,Yes,,No,,188,,,No,None
Antwerp,HOUSE,HOUSE,385000,residential_sale,3,,None,No,No,No,,Yes,85,165,,,No,None
Antwerpen Wilrijk,APARTMENT,APARTMENT,269000,residential_sale,2,33,Yes,No,No,Yes,2,No,,87,,2,No,GOOD
Halle,HOUSE,HOUSE,385000,residential_sale,3,,None,No,No,No,,No,,158,,,No,None
Halle,HOUSE,HOUSE,375000,residential_sale,3,,None,No,No,Yes,40,No,,168,,,No,None
Braine-l'Alleud,APARTMENT,APARTMENT,474500,residential_sale,3,,None,No,No,Yes,18,No,,136,,,No,None
Charleroi,APARTMENT,APARTMENT,164999,residential_sale,3,,None,Yes,No,No,,No,,118,,,No,None
Hasselt,HOUSE,HOUSE,360000,residential_sale,3,,None,No,No,Yes,,No,,207,,,No,None
Zwijndrecht (Zwijndrecht),APARTMENT,APARTMENT,199000,residential_sale,2,,None,No,No,Yes,7,No,,80,,,No,None
Tremelo,HOUSE,HOUSE,440000,residential_sale,4,,None,No,No,Yes,,No,,214,,,No,None
Halle,HOUSE,HOUSE,350000,residential_sale,3,,None,No,No,Yes,,No,,180,,,No,None
Bazel,HOUSE,HOUSE,269000,residential_sale,2,,None,No,No,Yes,16,Yes,30,101,,,No,None
Oostende,HOUSE,HOUSE,322000,residential_sale,2,,None,No,No,No,,No,,200,,,No,None
Hasselt,HOUSE,HOUSE,350000,residential_sale,4,,None,No,No,No,,No,,181,,,No,None
Merelbeke,HOUSE,HOUSE,795000,residential_sale,4,,None,No,No,Yes,,No,,302,,,Yes,None
Tremelo,HOUSE,HOUSE,375000,residential_sale,5,,None,No,No,Yes,,No,,190,,,No,None
Braine-l'Alleud,APARTMENT,APARTMENT,365000,residential_sale,3,,None,No,No,Yes,3,No,,135,,,No,None
Assebroek,APARTMENT,APARTMENT,245000,residential_sale,2,,None,No,No,No,,No,,80,,,No,None
Tremelo Baal,APARTMENT,APARTMENT,245000,residential_sale,2,,None,No,No,Yes,,No,,110,,,No,None
Neufchateau,HOUSE,HOUSE,230000,residential_sale,4,,None,No,No,No,,Yes,1500,135,,,No,None
Lebbeke,HOUSE,HOUSE,379000,residential_sale,3,,None,No,No,Yes,,No,,,,,No,None
Braine-l'Alleud,APARTMENT,APARTMENT,474500,residential_sale,3,,None,No,No,Yes,15,No,,140,,,No,None
Vorst,HOUSE,HOUSE,639000,residential_sale,4,,None,No,No,No,,No,,231,,,No,None
Antwerp,APARTMENT,APARTMENT,230000,residential_sale,2,34,Yes,No,No,Yes,4,No,,94,,2,No,AS_NEW
Liege,APARTMENT,APARTMENT,275000,residential_sale,3,38,No,No,No,Yes,6,No,,,,3,No,AS_NEW
Berlare Uitbergen,HOUSE,HOUSE,269000,residential_sale,2,,None,No,No,Yes,,No,,,,,No,None
Braine-l'Alleud,HOUSE,HOUSE,290000,residential_sale,2,33,No,No,No,Yes,20,Yes,75,110,199,2,No,
Lanaken,HOUSE,HOUSE,265000,residential_sale,3,,None,No,No,No,,Yes,,241,,,No,None
Halle,APARTMENT,APARTMENT,475000,residential_sale,2,,None,No,No,Yes,37,No,,105,,,No,None
Strombeek-Bever,APARTMENT,APARTMENT,269000,residential_sale,2,,None,No,No,Yes,10,No,,98,,,No,None
Gent,APARTMENT,APARTMENT,395000,residential_sale,2,,None,No,No,No,,No,,84,,,No,None
Gent,APARTMENT,APARTMENT,398000,residential_sale,1,,None,No,No,Yes,9,No,,65,,,No,None
SINT-JANS-MOLENBEEK,APARTMENT,APARTMENT,290000,residential_sale,2,,None,No,Yes,Yes,4,No,,,,,No,None
Antwerpen Berchem,APARTMENT,APARTMENT,225000,residential_sale,2,,None,No,No,Yes,18,No,,80,,,No,None
Braine-l'Alleud,HOUSE,HOUSE,325000,residential_sale,3,32,No,No,No,Yes,32,Yes,50,140,150,2,No,
Sint-Pieters-Leeuw,HOUSE,HOUSE,425000,residential_sale,3,,None,No,No,Yes,50,No,,250,,,No,None
Gent,HOUSE,HOUSE,330000,residential_sale,4,,None,No,No,No,,No,,175,,,No,None
Opwijk,HOUSE,HOUSE,429000,residential_sale,6,,None,No,No,Yes,,No,,258,,,No,None
Hamme,HOUSE,HOUSE,449000,residential_sale,4,39,No,No,No,Yes,50,Yes,576,242,673,4,No,TO_RENOVATE
Ans,APARTMENT,APARTMENT,189000,residential_sale,2,,None,No,No,No,,No,,66,,,No,None
Halle,APARTMENT,APARTMENT,249900,residential_sale,1,,None,No,No,Yes,24,No,,66,,,No,None
Bruxelles,APARTMENT,APARTMENT,299000,residential_sale,2,,None,No,No,Yes,,No,,92,,,No,None
Flemalle,HOUSE,HOUSE,269000,residential_sale,4,27,No,No,No,Yes,50,Yes,1340,183,1521,4,No,TO_BE_DONE_UP
Knokke-Heist,APARTMENT,APARTMENT,930000,residential_sale,2,,None,No,No,No,,No,,105,,,No,None
Brasschaat,HOUSE,HOUSE,628000,residential_sale,3,,None,No,Yes,Yes,,Yes,,188,,,Yes,None
Wetteren,HOUSE,HOUSE,380000,residential_sale,4,,None,No,Yes,Yes,,Yes,155,182,,,No,None
Berloz,HOUSE,HOUSE,235000,residential_sale,3,,None,No,No,Yes,15,Yes,645,135,,,No,None
Mechelen,HOUSE,HOUSE,369000,residential_sale,3,,None,No,No,No,,Yes,40,135,,,No,None
Waterloo,HOUSE,HOUSE,1490000,residential_sale,3,,None,No,No,Yes,,No,,496,,,Yes,None
Knokke-Heist,APARTMENT,APARTMENT,485000,residential_sale,1,,None,No,No,Yes,,No,,42,,,No,None
ELVERSELE,HOUSE,HOUSE,699000,residential_sale,5,,None,No,Yes,No,,Yes,,,,,No,None
Heist-op-den-Berg,HOUSE,HOUSE,529000,residential_sale,3,,None,No,Yes,Yes,21,Yes,175,188,,,No,None
Kortrijk,HOUSE,HOUSE,305000,residential_sale,2,,None,No,No,Yes,,Yes,200,124,,,No,None
Asse,HOUSE,HOUSE,295000,residential_sale,3,25,Yes,No,No,No,,No,,137,350,2,No,
Seraing,HOUSE,HOUSE,180000,residential_sale,4,32,No,No,No,Yes,40,No,,135,112,2,No,GOOD
Knokke,APARTMENT,APARTMENT,395000,residential_sale,1,,None,No,No,No,,No,,67,,,No,None
Kortrijk,HOUSE,HOUSE,545000,residential_sale,3,,None,No,No,Yes,,No,,374,,,No,None
Koekelberg,APARTMENT,APARTMENT,265000,residential_sale,2,,None,No,Yes,Yes,2,No,,100,,,No,None
Wevelgem,HOUSE,HOUSE,229000,residential_sale,3,,None,No,No,No,,Yes,,,,,No,None
Zellik,APARTMENT,APARTMENT,215000,residential_sale,2,,None,No,No,Yes,,No,,72,,,No,None
Roeselare,HOUSE,HOUSE,215000,residential_sale,2,,None,No,No,Yes,12,Yes,140,102,,,No,None
Sint-Martens-Latem,HOUSE,HOUSE,685000,residential_sale,2,,None,No,No,No,,No,,179,,,No,None
Antwerp,HOUSE,HOUSE,435000,residential_sale,2,,None,No,No,No,,Yes,41,138,,,No,None
Roesbrugge,HOUSE,HOUSE,249000,residential_sale,2,53,Yes,No,No,Yes,,Yes,,131,3000,,No,TO_BE_DONE_UP
Seraing,HOUSE,HOUSE,159500,residential_sale,4,25,No,No,No,No,,No,,175,110,3,No,GOOD
Oostende,APARTMENT,APARTMENT,620000,residential_sale,2,,None,No,No,No,,No,,138,,,No,None
Wilrijk,APARTMENT,APARTMENT,275000,residential_sale,2,,None,No,Yes,Yes,,Yes,,72,,,No,None
Knokke-Heist,APARTMENT,APARTMENT,1295000,residential_sale,3,,None,Yes,No,Yes,6,No,,104,,,No,None
Kortemark,HOUSE,HOUSE,145000,residential_sale,3,,None,No,No,No,,No,,,,,No,None
Liège Wandre,HOUSE,HOUSE,279500,residential_sale,3,32,No,No,No,Yes,,Yes,85,130,250,3,No,AS_NEW
Hasselt,APARTMENT,APARTMENT,199000,residential_sale,1,26,No,No,No,No,,No,,61,,2,No,GOOD
Hoboken,HOUSE,HOUSE,349900,residential_sale,3,30,No,No,Yes,No,,Yes,72,164,168,2,No,AS_NEW
Knokke-Heist,APARTMENT,APARTMENT,695000,residential_sale,2,,None,Yes,No,Yes,4,No,,60,,,No,None
Arlon,APARTMENT,APARTMENT,230000,residential_sale,2,,None,No,No,No,,No,,78,,,No,None
Evere,APARTMENT,APARTMENT,395000,residential_sale,2,,None,No,No,Yes,18,No,,110,,,No,None
Bruxelles,APARTMENT,APARTMENT,200000,residential_sale,1,,None,No,No,No,,Yes,13,59,,,No,None
Blankenberge,APARTMENT,APARTMENT,595000,residential_sale,3,,None,No,No,No,,No,,,,,No,None
Hamme,HOUSE,HOUSE,250000,residential_sale,2,,None,No,Yes,No,,Yes,,81,,,No,None
La Louviere,HOUSE,HOUSE,130000,residential_sale,2,,None,No,No,No,,No,,,,,No,None
Saint-Josse-ten-Noode,APARTMENT,APARTMENT,245000,residential_sale,3,,None,No,No,Yes,,No,,101,,,No,None
Uccle,APARTMENT,APARTMENT,1950000,residential_sale,3,,None,No,No,Yes,140,No,,227,,,No,None
Oostduinkerke,HOUSE,HOUSE,539000,residential_sale,4,,None,No,No,Yes,,No,,,,,No,None
Charleroi,APARTMENT,APARTMENT,139000,residential_sale,2,,None,No,Yes,Yes,4,No,,60,,,No,None
Oostduinkerke,APARTMENT,APARTMENT,875000,residential_sale,3,,None,No,No,Yes,,No,,144,,,No,None
Evere,APARTMENT,APARTMENT,380000,residential_sale,2,,None,No,No,Yes,25,No,,96,,,No,None
Seraing,HOUSE,HOUSE,174500,residential_sale,3,,None,No,No,Yes,30,Yes,172,115,,,No,None
Knokke-Heist,APARTMENT,APARTMENT,1295000,residential_sale,3,,None,Yes,No,Yes,,No,,104,,,No,None
Mechelen,APARTMENT,APARTMENT,249000,residential_sale,3,,None,No,Yes,No,,No,,110,,,No,None
Ixelles,HOUSE,HOUSE,6500000,residential_sale,10,,None,No,No,Yes,,Yes,880,1687,,,No,None
Bruxelles,APARTMENT,APARTMENT,370000,residential_sale,1,,None,No,No,Yes,8,No,,68,,,No,None
Mechelen,HOUSE,HOUSE,395000,residential_sale,6,,None,No,Yes,No,,No,,,,,No,None
VILLERS-L'EVÊQUE,HOUSE,HOUSE,210000,residential_sale,3,,None,No,Yes,Yes,5,Yes,180,,,,No,None
Uccle,HOUSE,HOUSE,2985000,residential_sale,5,,None,No,No,Yes,,No,,555,,,No,None
Knokke-Heist,APARTMENT,APARTMENT,695000,residential_sale,2,,None,Yes,No,Yes,,No,,56,,,No,None
Uccle,HOUSE,HOUSE,780000,residential_sale,4,25,Yes,No,No,Yes,12,No,,260,125,2,No,GOOD
Havelange,HOUSE,HOUSE,325000,residential_sale,4,23,Yes,No,No,Yes,,No,,190,796,3,No,GOOD
Uccle,APARTMENT,APARTMENT,1245000,residential_sale,3,,None,No,No,Yes,28,No,,163,,,No,None
Kontich,APARTMENT,APARTMENT,366000,residential_sale,2,,None,No,Yes,Yes,,No,,110,,,No,None
Ixelles,APARTMENT,APARTMENT,650000,residential_sale,3,,None,No,Yes,Yes,4,No,,180,,,No,None
Pecq,HOUSE,HOUSE,185000,residential_sale,3,,None,No,No,Yes,,No,,124,,,No,None
Nivelles,HOUSE,HOUSE,345000,residential_sale,5,,None,No,No,Yes,15,Yes,300,170,,,No,None
Olmen,HOUSE,HOUSE,249000,residential_sale,3,,None,No,Yes,No,,Yes,,240,,,No,None
HARZÉ,HOUSE,HOUSE,125000,residential_sale,2,,None,No,Yes,No,,Yes,179,,,,No,None
Wavre,APARTMENT,APARTMENT,365000,residential_sale,2,,None,No,No,Yes,12,No,,101,,,No,None
Uccle,HOUSE,HOUSE,795000,residential_sale,3,25,Yes,No,No,Yes,,Yes,70,186,132,2,No,AS_NEW
Brugge,HOUSE,HOUSE,385000,residential_sale,4,,None,No,No,No,,No,,,,,No,None
Etterbeek,APARTMENT,APARTMENT,279000,residential_sale,2,,None,No,No,Yes,11,No,,79,,,No,None
Westende,APARTMENT,APARTMENT,279000,residential_sale,2,,None,No,No,Yes,,No,,68,,,No,None
Vosselaar,HOUSE,HOUSE,319000,residential_sale,3,37,No,No,No,No,,No,,195,624,4,No,
Mortsel,HOUSE,HOUSE,375000,residential_sale,3,,None,No,Yes,No,,Yes,150,219,,,No,None
Blandain,HOUSE,HOUSE,312000,residential_sale,2,38,No,No,No,Yes,,Yes,900,140,1026,4,No,GOOD
Bruxelles,APARTMENT,APARTMENT,1485000,residential_sale,3,59,Yes,No,No,Yes,26,No,,192,,2,No,AS_NEW
WOLUWE-SAINT-PIERRE,HOUSE,HOUSE,525000,residential_sale,3,27,No,No,Yes,No,,Yes,80,106,206,3,No,JUST_RENOVATED
Brugge,HOUSE,HOUSE,385000,residential_sale,4,,None,No,No,No,,No,,,,,No,None
Bruxelles,APARTMENT,APARTMENT,365000,residential_sale,1,,None,No,No,No,,No,,71,,,No,None
Knokke-Heist,APARTMENT,APARTMENT,325000,residential_sale,2,,None,No,No,Yes,,No,,66,,,No,None
Sint-Truiden,HOUSE,HOUSE,229000,residential_sale,3,23,No,No,No,No,,Yes,,164,257,,No,
Bruxelles,APARTMENT,APARTMENT,1410000,residential_sale,3,86,Yes,No,No,Yes,23,No,,184,,2,No,AS_NEW
Hulshout,HOUSE,HOUSE,170000,residential_sale,3,,None,No,Yes,Yes,,Yes,,143,,,No,None
Kraainem,HOUSE,HOUSE,675000,residential_sale,4,45,No,No,Yes,Yes,10,Yes,115,212,293,3,No,
Nivelles,HOUSE,HOUSE,425000,residential_sale,3,44,Yes,No,No,Yes,32,Yes,40,170,0,2,No,GOOD
Schaerbeek,APARTMENT,APARTMENT,137500,residential_sale,1,,None,No,Yes,No,,No,,30,,,No,None
Kortrijk,HOUSE,HOUSE,425000,residential_sale,4,,None,No,Yes,Yes,33,Yes,653,,,,No,None
Wetteren,APARTMENT,APARTMENT,230000,residential_sale,2,51,No,No,Yes,Yes,,Yes,,110,,2,No,GOOD
Schaerbeek,APARTMENT,APARTMENT,137500,residential_sale,1,,None,No,Yes,Yes,2,No,,28,,,No,None
Wezembeek-Oppem,HOUSE,HOUSE,985000,residential_sale,5,60,Yes,No,Yes,Yes,55,Yes,570,320,1297,4,No,JUST_RENOVATED
Bruxelles,APARTMENT,APARTMENT,1450000,residential_sale,3,86,Yes,No,No,Yes,20,No,,199,,2,No,AS_NEW
Mechelen,HOUSE,HOUSE,845000,residential_sale,5,,None,No,Yes,Yes,,No,,394,,,No,None
Wavre,APARTMENT,APARTMENT,355000,residential_sale,2,,None,No,No,Yes,15,No,,98,,,No,None
Chênée,HOUSE,HOUSE,215000,residential_sale,2,,None,No,No,Yes,19,Yes,133,134,,,No,None
Schaerbeek,APARTMENT,APARTMENT,340000,residential_sale,3,30,No,No,No,No,,No,,104,,2,No,GOOD
Woluwe-Saint-Lambert,APARTMENT,APARTMENT,230000,residential_sale,1,,None,No,No,Yes,2,No,,76,,,No,None
Diepenbeek,HOUSE,HOUSE,295000,residential_sale,3,,None,No,No,Yes,,No,,173,,,No,None
Wezembeek-Oppem,HOUSE,HOUSE,650000,residential_sale,4,,None,No,No,Yes,1,Yes,1,183,,,No,None
Jambes,APARTMENT,APARTMENT,336000,residential_sale,3,28,No,No,No,Yes,11,No,,97,,,No,AS_NEW
Gent,HOUSE,HOUSE,345000,residential_sale,3,,None,No,Yes,No,,No,,119,,,No,None
Blankenberge,APARTMENT,APARTMENT,249000,residential_sale,2,,None,No,No,Yes,,No,,68,,,No,None
